================================================================================
6. MATRICE DE PRIORITE GLOBALE
================================================================================

--- P0 QUICK WINS / BUGFIXES ---
| ID  | Proposition                         | Type    | Experts     | Effort   |
|-----|-------------------------------------|---------|-------------|----------|
| B   | Magic numbers -> constantes         | REFACT  | RS          | Trivial  |
| F   | Tick stagger etendu                 | OPTIM   | AE2         | Trivial  |
| L   | onBlockBreak hors edit mode         | FIX     | AE2+RS+CRE  | 1 ligne  |
| O   | setRemoved() sur Terminal (G1)      | FIX     | Archi+RS    | Trivial  |
| Q   | Flood fill cap ~64                  | FIX     | AE2+RS      | 5 lignes |
| T   | Dirty flag incomplet (hoppers)      | BUG     | AE2         | 5 lignes |
| Z   | TasksSyncPacket dirty flag          | OPTIM   | RS          | Trivial  |
| AH  | setRemoved() Terminal (G2 detail)   | BUG CRT | AE2+RS+CRE  | 10 lignes|
| AI  | DATA_HONEY_CONSUMPTION wrong src    | BUG     | RS          | 1 ligne  |
| AJ  | Deferred processPendingRequests     | BUG     | RS          | 5 lignes |
| AR  | consumeHoney() wrong chest count    | BUG     | RS          | 1 ligne  |
| AS  | ASSIGNED->PENDING item dupe reload  | BUG CRT | AE2+RS+CRE  | Moyen    |
| AW  | Timeout FLYING manquant (bee zombie)| BUG     | AE2         | Faible   |
| BU  | isFormed() interfaces [UNANIME 3/3] | BUG     | AE2+RS+CRE  | 1 ligne  |
| BV  | Tick stagger interfaces multiples   | OPTIM   | CREATE      | 1 ligne  |

--- P1 HAUTE PRIORITE ---
| ID  | Proposition                         | Type    | Experts     | Effort   |
|-----|-------------------------------------|---------|-------------|----------|
| A   | Extraire HiveManager                | REFACT  | RS          | Faible   |
| H   | Auto-connexion relays               | FEAT    | AE2+CRE     | Moyen    |
| I   | Relay cache controllerPos           | OPTIM   | RS          | Faible   |
| U   | Cache incrementiel aggregation      | PERF    | AE2+RS+CRE  | Moyen    |
| W   | Tri cote client                     | PERF    | RS          | Faible   |
| AA  | SYNC_INTERVAL 40->10-20 ticks       | PERF    | AE2+RS      | Trivial  |
| AK  | isFormed() check terminal           | BUG low | AE2         | 3 lignes |
| AT  | completedTaskIds eviction unsafe    | BUG     | AE2+RS+CRE  | Moyen    |
| AU  | Cancel en vol sans restitution      | BUG     | AE2         | Moyen    |
| AV  | Retry infini sans limite            | BUG     | AE2+RS      | Faible   |
| AX  | PriorityQueue [UNANIME 3/3]         | PERF    | AE2+RS+CRE  | Faible   |
